0,1,2,3
Datum,,"Standard / KMU S
Budget / KMU M",
1.5.,MO,Tag der Arbeit,
2.5.,DI,1 - 4,13 - 15
3.5.,MI,4B,16
4.5.,DO,5,17
5.5.,FR,6 + 7,18
6.5.,SA,,
7.5.,SO,,
8.5.,MO,8,19
9.5.,DI,9,20
10.5. MI,,10,21
11.5.,DO,11 + 12,22
12.5.,FR,13,
13.5.,SA,,
14.5.,SO,,
15.5. MO,,14,1 - 3
16.5.,DI,15A,4B
17.5. MI,,15B,4 + 5
18.5.,DO,,
19.5.,FR,,Auffahrt
20.5.,SA,,
21.5.,SO,,
22.5. MO,,16,
23.5.,DI,17,6
24.5. MI,,18,7
25.5.,DO,19,
26.5.,FR,20,8 + 9
27.5.,SA,Schöne Pfingsten,
28.5.,SO,,
29.5. MO,,,
30.5.,DI,"21
10 - 12",
31.5. MI,,22,
